0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1650, 1684, 1693, 1688, 1679, 1646, 1656, 1646, 1687, 1670, 1649,1630, 1682, 1652, 1645, 1648
1313, 1304, 1354, 1305, 1348, 1344, 1346, 1335, 1350, 1300, 1343,1313, 1312, 1343, 1310, 1298
1068, 1033, 1024, 1078, 1099, 1024, 1052, 1051, 1047, 1028, 1031,1089, 1044, 1087, 1025, 1056
721, 737, 708, 708, 716, 737, 726, 737, 711, 726, 739, 728, 711,719, 723, 738
572, 487, 510, 487, 473, 577, 518, 523, 538, 519, 491, 495, 498,487, 533, 486
433, 427, 423, 404, 416, 412, 415, 423, 391, 399, 428, 403, 425, 390, 412, 408
301, 294, 287, 321, 312, 327, 299, 310, 306, 299, 314, 318, 308, 327, 308, 306
233, 220, 243, 211, 225, 220, 241, 204, 249, 234, 235, 228, 236,226, 208, 238
203, 203, 194, 183, 171, 186, 177, 185, 173, 204, 179, 198, 170,199, 201, 176
121, 144, 129, 129, 141, 162, 147, 137, 154, 165, 144, 152, 132, 156, 159, 158
109, 116, 108, 111, 113, 103, 106, 108, 113, 105, 105, 117, 102, 109, 104, 110
89,79,92,90,79,100,95,98,102,89,82,83,80,79,90,84
81,69,74,79,91,75,72,73,70,84,74,73,79,77,77,67
62,76,63,55,76,60,62,60,69,67,61,76,64,62,63,65
55, 50, 53, 56, 49, 53, 61, 62, 61, 60, 52, 56, 55, 55, 63, 56
54,54,42,44,40,55,47,39,49,38,50,51,50,46,52,51
47,39,34,36,39,44,43,44,29,38,38,33,38,44,41,60
42, 46, 46, 47, 39, 44, 38, 40, 44, 46, 36, 37, 36, 47, 45, 46
36, 42, 42, 42, 39, 38, 36, 41, 40, 37, 42, 41, 38, 39, 36, 40
35, 35, 39, 37, 34, 33, 32, 35, 34, 37, 39, 38, 40, 30, 39, 30
34,35,35,29,39,33,33,34,31,31,28,29,35,32,28,44
