0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1494, 1461, 1468, 1498, 1503, 1492, 1491, 1516, 1517, 1514, 1515,1456, 1478, 1499, 1482, 1517
998,  994, 1006, 1022, 1005, 1011, 1021,  982, 1015, 1016, 1021,996, 1004, 1008, 1035,  995
690, 694, 701, 672, 693, 674, 703, 672, 707, 707, 677, 660, 695,675, 685, 666
481, 496, 481, 506, 482, 509, 510, 480, 503, 527, 514, 521, 513,511, 481, 487
352, 387, 385, 378, 323, 370, 311, 354, 365, 345, 382, 300, 321,307, 306, 350
234, 222, 255, 229, 258, 225, 263, 225, 225, 266, 245, 235, 269,269, 229, 240
159, 178, 177, 162, 175, 170, 174, 169, 157, 175, 157, 156, 156,173, 156, 154
120, 112, 120, 133, 122, 126, 119, 123, 129, 124, 118, 122, 123,114, 115, 114
95,95,90,95,89,89,101,97,101,90,96,90,97,92,96,102
68,75,73,72,79,69,75,70,67,69,70,82,69,73,70,73
66,65,63,62,65,62,62,64,65,69,60,63,69,67,60,61
57, 62, 60, 60, 56, 60, 55, 60, 59, 57, 64, 56, 63, 60, 55, 61
45,45,53,47,47,48,48,48,54,54,49,53,45,53,52,46
41, 36, 39, 37, 38, 37, 38, 39, 42, 36, 39, 40, 39, 38, 40, 36
33,36,38,37,33,35,34,36,33,37,34,34,38,34,34,35
31, 30, 28, 28, 29, 31, 30, 30, 31, 30, 29, 29, 29, 30, 31, 30
31,31,30,30,30,34,30,28,30,30,30,31,31,27,29,27
25,26,27,29,24,29,26,38,27,27,25,30,27,25,26,24
25,23,24,25,25,23,23,22,23,26,25,22,25,24,22,22
19,22,24,22,23,21,24,23,22,21,25,23,22,23,21,20
19,22,24,22,23,21,24,22,22,20,25,20,19,19,19,20
